mass_A
t	y
0.0	-0.0018821342742336433
0.01	-0.0036681926340985105
0.02	-0.0052407587214817475
0.030000000000000002	-0.006551432355381748
0.04	-0.008801140834573451
0.05	-0.01085698591451395
0.060000000000000005	-0.013225693298739905
0.07	-0.015751395072950702
0.08	-0.018440805800338606
0.09000000000000001	-0.021179272740939226
0.1	-0.02403251998020997
0.11	-0.027018079788658694
0.12000000000000001	-0.030053596977563823
0.13	-0.033091230282555784
0.14	-0.03625236123844691
0.15	-0.039403786244731204
0.16	-0.04257777494401482
0.17	-0.045726280760117394
0.18000000000000002	-0.04873255191885559
0.19	-0.0519512400856649
0.2	-0.05476896104163134
0.21000000000000002	-0.057644959753349184
0.22	-0.06074757579443665
0.23	-0.06360059420527245
0.24000000000000002	-0.06617290433676823
0.25	-0.06873990640848618
0.26	-0.07085834727422793
0.27	-0.07309292510757956
0.28	-0.07506546331718131
0.29000000000000004	-0.07710711464872802
0.3	-0.07866099376641314
0.31	-0.08010291778143006
0.32	-0.08112980595541006
0.33	-0.08203675848629591
0.34	-0.08298002874268176
0.35000000000000003	-0.08347282616043158
0.36000000000000004	-0.08376462570649576
0.38	-0.08375203996051475
0.39	-0.08395509681740784
0.4	-0.08332668746079766
0.41000000000000003	-0.08275519792933858
0.42000000000000004	-0.08123061475453505
0.43	-0.07980034994883703
0.44	-0.07879169291276086
0.45	-0.0771098200983503
0.46	-0.07501515453894617
0.4700000000000001	-0.07301456175484514
0.48000000000000004	-0.07097758728213091
0.49000000000000005	-0.06862045497023431
0.5	-0.06614310639460005
0.51	-0.06353725107045752
0.52	-0.06090564831008713
0.53	-0.058100702066760185
0.54	-0.055175720499755915
0.55	-0.05212384294298225
0.56	-0.04911146235050498
0.5700000000000001	-0.04602632334236795
0.5800000000000001	-0.04292330703367467
0.5900000000000001	-0.039778292580986585
0.6	-0.03669297580291492
0.61	-0.03337036906226351
0.62	-0.030387418982798647
0.63	-0.02720011348348128
0.64	-0.024229731265425353
0.65	-0.02133832661669574
0.66	-0.01871269092721642
0.67	-0.01604254877139763
0.68	-0.01348998598797918
0.6900000000000002	-0.011109334632695783
0.7000000000000001	-0.009251719603007441
0.7100000000000001	-0.006889758556401199
0.7200000000000001	-0.005249603033813749
0.73	-0.0036102237558145456
0.74	-0.001989494042013429
0.75	-9.095285056020808E-4
0.76	1.9253116113676638E-4
0.77	0.0010463873457992046
0.78	0.0015261820007838323
0.79	0.002100191179751104
0.8	0.0020827391111071514
0.81	0.0018021148659770059
0.8200000000000001	0.0014582353464029918
0.8300000000000001	0.0015217556640584329
0.8400000000000001	1.0070780805207513E-4
0.8500000000000001	-3.937556417732413E-5
0.86	-0.001359979569087566
0.87	-0.00268769550747075
0.88	-0.004335941153662454
0.89	-0.006135118254982169
0.9	-0.008387157178318422
0.91	-0.010383438617495772
0.92	-0.012832690571465244
0.93	-0.015297342700431898
0.9400000000000002	-0.017860371742872555
0.9500000000000001	-0.020613094995679482
0.9600000000000001	-0.02339341505609649
0.9700000000000001	-0.026303060468165523
0.9800000000000001	-0.02926919350212076
0.9900000000000001	-0.03230247921521101
1.0	-0.035446047635649736
1.01	-0.03849004264793121
1.02	-0.04166273117764874
1.03	-0.04485150267270843
1.04	-0.047843042155777615
1.05	-0.050978545525905944
1.06	-0.054024059295317645
1.07	-0.05694511068439592
1.08	-0.05973611661427916
1.09	-0.06232420302822597
1.1	-0.06518366052900124
1.11	-0.06772613732286084
1.12	-0.07008809041252431
1.1300000000000003	-0.0722617939563239
1.1400000000000001	-0.07413215845278245
1.1500000000000001	-0.0760065942518641
1.1600000000000001	-0.07775880953192413
1.1700000000000002	-0.07909011026822313
1.1800000000000002	-0.08046168867963718
