mass_A
t	y
0.0	-0.004135998438089289
0.009999999999999998	-0.004018071258239719
0.019999999999999997	-0.00325239302344571
0.03	-0.0034207662777550885
0.039999999999999994	-0.002701717591154007
0.049999999999999996	-0.0029666481083552576
0.06	-0.00307687276537727
0.06999999999999998	-0.0035837822414657994
0.07999999999999999	-0.004070764080112754
0.09	-0.0041097162118589325
0.09999999999999999	-0.004450699678060499
0.10999999999999999	-0.00548140086499288
0.12	-0.005675401899532501
0.12999999999999998	-0.007021134344883467
0.13999999999999996	-0.007797534924692401
0.14999999999999997	-0.008126197198296048
0.15999999999999998	-0.009730995667486725
0.16999999999999998	-0.01062979141750739
0.18	-0.011180489456655812
0.18999999999999997	-0.013052504627264594
0.19999999999999998	-0.014033563298538304
0.21	-0.014669119562445987
0.21999999999999997	-0.01568812447765916
0.22999999999999998	-0.01751036275584117
0.24	-0.018113332721318404
0.24999999999999997	-0.019298766582259735
0.25999999999999995	-0.020511030757193877
0.26999999999999996	-0.021717193096008974
0.2799999999999999	-0.023535623208916112
0.29	-0.024102844060469947
0.29999999999999993	-0.025317208903365362
0.30999999999999994	-0.027111760920158795
0.31999999999999995	-0.028305334477912503
0.32999999999999996	-0.029402648037113455
0.33999999999999997	-0.02994841000517129
0.35	-0.03140356884384385
0.36	-0.031864577746102296
0.36999999999999994	-0.032683135979349826
0.37999999999999995	-0.03340157556835843
0.38999999999999996	-0.034626406637523116
0.39999999999999997	-0.03525748380118213
0.41	-0.03554420585663387
0.42	-0.03610574045702161
0.42999999999999994	-0.03661373228798617
0.43999999999999995	-0.03667122584588334
0.44999999999999996	-0.03739961346566875
0.45999999999999996	-0.03709061533896982
0.47	-0.037141096204867274
0.48	-0.03711003803689508
0.49	-0.03738277756446043
0.49999999999999994	-0.036788097931754415
0.5099999999999999	-0.03649119321917452
0.5199999999999999	-0.03619391415152334
0.5299999999999999	-0.0355157682531837
0.5399999999999999	-0.03547471252059625
0.5499999999999999	-0.03462530134245251
0.5599999999999998	-0.03432588650263951
0.57	-0.03346043052168529
0.58	-0.032148616077033704
0.59	-0.03186864049954646
0.5999999999999999	-0.030596142373839813
0.6099999999999999	-0.029813538948079032
0.6199999999999999	-0.0283572700576539
0.6299999999999999	-0.02736149581631908
0.6399999999999999	-0.026502971948336868
0.6499999999999999	-0.025410670951620334
0.6599999999999999	-0.02376310768086995
0.6699999999999999	-0.023071262163254114
0.6799999999999999	-0.02183911501326513
0.69	-0.02011783849864704
0.7	-0.019482283936544414
0.71	-0.018250395895030913
0.72	-0.01648478958595226
0.7299999999999999	-0.015307827834223076
0.7399999999999999	-0.014049796538423615
0.7499999999999999	-0.012805159238540198
0.7599999999999999	-0.011787918914207163
0.7699999999999999	-0.01134323419352501
0.7799999999999999	-0.010089839174914655
0.7899999999999999	-0.008825245541478344
0.7999999999999999	-0.008598402056426091
0.8099999999999998	-0.007222085788856969
0.82	-0.0064743908300578246
0.83	-0.006343934249451788
0.84	-0.005627279485102332
0.85	-0.004906973181487084
0.8599999999999999	-0.004463149231077906
0.8699999999999999	-0.004228482379801002
0.8799999999999999	-0.004438565037528042
0.8899999999999999	-0.004336473286984721
0.8999999999999999	-0.004177758492957762
0.9099999999999999	-0.0044873160640175325
0.9199999999999999	-0.004042054517717303
0.9299999999999999	-0.00471722780449188
0.94	-0.004409851977786178
0.95	-0.0048371854369669565
0.96	-0.005312082647340316
0.97	-0.006247236665916894
0.98	-0.006457660134130544
0.99	-0.007850483937834607
0.9999999999999999	-0.00858035145996755
1.0099999999999998	-0.008829417249689137
1.0199999999999998	-0.0098450395164483
1.0299999999999998	-0.011300322541061225
1.0399999999999998	-0.011958053589539858
1.0499999999999998	-0.013380098581550537
1.0599999999999998	-0.014600202777802135
1.0699999999999998	-0.015811660044023484
1.0799999999999998	-0.016979195685703552
1.0899999999999999	-0.01820696502704483
1.0999999999999999	-0.01887653818098181
1.1099999999999999	-0.020641376950876145
1.1199999999999997	-0.02126614963573556
1.13	-0.023062825372566348
1.14	-0.023683677041645174
1.15	-0.025498043154292743
1.16	-0.0267023338951273
1.17	-0.02795219216658862
1.18	-0.029001936855870686
1.1899999999999997	-0.029420171902513698
1.1999999999999997	-0.03081136316147995
1.2099999999999997	-0.03136991742218098
1.2199999999999998	-0.03216396105627525
1.2299999999999998	-0.033489928341985664
1.2399999999999998	-0.03431084956177716
1.2499999999999998	-0.03503106206423057
1.2599999999999998	-0.03510792478475844
1.2699999999999998	-0.035567631032066005
1.2799999999999998	-0.035891938934022094
1.2899999999999998	-0.03664800463525625
1.2999999999999998	-0.0369963188728889
1.3099999999999998	-0.03677524374044863
1.3199999999999998	-0.036906640612554
1.3299999999999998	-0.036924978432977595
1.3399999999999999	-0.03649657859888139
1.3499999999999999	-0.03705227116995505
1.3599999999999999	-0.036143937457044084
1.3699999999999997	-0.035748003501598014
1.38	-0.03587269388760686
1.39	-0.03553827755792266
1.4	-0.03458401090794694
1.41	-0.03438639169424787
1.42	-0.032846413509493355
1.43	-0.03269580613895995
1.44	-0.031892924357492414
1.45	-0.031137589883679567
1.4599999999999997	-0.02952425607590961
1.4699999999999998	-0.028934846780015122
1.4799999999999998	-0.02736075375542002
1.4899999999999998	-0.026138535682000807
1.4999999999999998	-0.024909201734380743
1.5099999999999998	-0.02371998082371518
1.5199999999999998	-0.022516032423316096
1.5299999999999998	-0.021878237805937367
1.5399999999999998	-0.020065468602537967
1.5499999999999998	-0.018896164032197127
1.5599999999999998	-0.018231776178092518
1.5699999999999998	-0.016445858114673834
