mass_A
t	x
0.0	-2.4621014909242955E-5
0.01	2.2189827954133268E-4
0.02	7.125253650779595E-4
0.030000000000000002	-3.102238291050052E-5
0.04	2.706727284142729E-4
0.05	8.755181191983374E-4
0.060000000000000005	9.556502074842821E-4
0.07	0.0017600997731661572
0.08	0.0024099020768517387
0.09000000000000001	0.003138110240039349
0.1	0.003212213195014163
0.11	0.00386043606225131
0.12000000000000001	0.004677645368264816
0.13	0.0055120338795232315
0.14	0.007126543198092056
0.15	0.0077341898375849205
0.16	0.008285569581558322
0.17	0.01039069159449324
0.18000000000000002	0.011615066296975673
0.19	0.012843333955720987
0.2	0.01352312796414204
0.21000000000000002	0.015522169819090548
0.22	0.016252608856180267
0.23	0.01765235630557585
0.24000000000000002	0.01934651365240872
0.25	0.02098207875644567
0.26	0.022167142695755537
0.27	0.02404739845414358
0.28	0.025214252847717167
0.29000000000000004	0.027812724455941212
0.3	0.02944268522024579
0.31	0.031287063221445616
0.32	0.0326774028582868
0.33	0.03466368937324946
0.34	0.03641481541125649
0.35000000000000003	0.03827170837094343
0.36000000000000004	0.040260683089874794
0.37	0.042606309292021916
0.38	0.04416863434617413
0.39	0.04606933175671818
0.4	0.048011054367303685
0.41000000000000003	0.05002161922394094
0.42000000000000004	0.05214264605796243
0.43	0.05440084344643431
0.44	0.05661197895983261
0.45	0.05865551960133031
0.46	0.06044070164405446
0.4700000000000001	0.06262878700895502
0.48000000000000004	0.06477132024678767
0.49000000000000005	0.06706310696043316
0.5	0.06867771131489814
0.51	0.07053557502209629
0.52	0.07259305372751745
0.53	0.07455940578170411
0.54	0.07647414599300373
0.55	0.07839861862412695
0.56	0.08034535916378649
0.5700000000000001	0.0827315811137237
0.5800000000000001	0.08469864451496484
0.5900000000000001	0.08662716799313763
0.6	0.08849304483734349
0.61	0.09046179118191211
0.62	0.09207632876053895
0.63	0.09331100623759686
0.64	0.09533931060115158
0.65	0.09643123092868688
0.66	0.09806692467524514
0.67	0.10020861848403656
0.68	0.10101740440490309
0.6900000000000002	0.10235816978002915
0.7000000000000001	0.10359595860190246
0.7100000000000001	0.10545006964957465
0.7200000000000001	0.10658990596228729
0.73	0.10792756899372635
0.74	0.10906179466921007
0.75	0.10984803891342482
0.76	0.11124488245401776
0.77	0.11170117329596574
0.78	0.11280974103005248
0.79	0.11369009891746795
0.8	0.11433840814542096
0.81	0.11501329098584018
0.8200000000000001	0.11567335079074598
0.8300000000000001	0.11594915581009979
0.8400000000000001	0.11611602704145063
0.8500000000000001	0.11631817316548537
0.86	0.11702657883780399
0.87	0.1165123033499667
0.88	0.11712720792869924
0.89	0.11647629304230672
0.9	0.11713241188070361
0.91	0.11680321388346987
0.92	0.11584919998815779
0.93	0.11586666977484944
0.9400000000000002	0.11579226264827741
0.9500000000000001	0.11458443565341553
0.9600000000000001	0.1140692923086713
0.9700000000000001	0.11385521184596314
0.9800000000000001	0.11326403809939622
0.9900000000000001	0.11259801492123761
1.0	0.1114308342465884
1.01	0.11001995505239204
1.02	0.1091333961839312
1.03	0.10858193580672837
1.04	0.10672934367001241
1.05	0.10615374042853631
1.06	0.10414585931154874
1.07	0.10351450586782007
1.08	0.10198150485837065
1.09	0.10046792084592088
1.1	0.09838703349493422
1.11	0.09718339172227286
1.12	0.09576807791509206
1.1300000000000003	0.09368637065531332
1.1400000000000001	0.09249407210910554
1.1500000000000001	0.0899444900531336
1.1600000000000001	0.08800875681415915
1.1700000000000002	0.08609719625908052
1.1800000000000002	0.08471935899940852
1.19	0.08277967578561396
1.2	0.08070564404960856
1.21	0.0788124428903948
1.22	0.07683798550357562
1.23	0.07460137420442997
1.24	0.07211149297319691
1.25	0.07009613237660933
1.26	0.06774555948686667
1.27	0.0657833777870046
1.28	0.06345176079273973
1.29	0.06107135462306007
1.3	0.05896169045073518
1.31	0.05650832831483632
1.32	0.05438350038546713
1.33	0.05198298187734263
1.34	0.049741583886927454
1.35	0.047510581116287864
1.36	0.04526615622123503
1.37	0.04285689975063778
1.3800000000000003	0.04102898759827028
