mass_A
t	y
0.0	-0.0028055109213291213
0.01	-0.004463137373676207
0.02	-0.006212775521760597
0.030000000000000002	-0.00763304141414875
0.04	-0.008709560395844487
0.05	-0.009362684126305157
0.060000000000000005	-0.009634938606058893
0.07	-0.009543360641550605
0.08	-0.009003953953389543
0.09000000000000001	-0.008143963782912045
0.1	-0.006929874648362339
0.11	-0.005628554640857555
0.12000000000000001	-0.0038542730389990038
0.13	-0.0021241051704282837
0.14	1.0165288459668131E-4
0.15	0.0024280731413478113
0.16	0.004696117587440624
0.17	0.006552172806001774
0.18000000000000002	0.009011908346431327
0.19	0.011243899678809732
0.2	0.012962311372520102
0.21000000000000002	0.014909237194563149
0.22	0.016137065273469767
0.23	0.01739867828147358
0.24000000000000002	0.01810910405161753
0.25	0.018534417838736647
0.26	0.0186997352219649
0.27	0.018357418907537962
0.28	0.01798865954872321
0.29000000000000004	0.017036167068392172
0.3	0.015720009976515917
0.31	0.014224720836841134
0.32	0.01204840772760589
0.33	0.009945932911520197
0.34	0.007923474493287272
0.35000000000000003	0.005462510880407695
0.36000000000000004	0.003104585425753398
0.37	9.398358962783987E-4
0.38	-0.0016060642210142112
0.39	-0.003535782302896015
0.4	-0.0052161075731392975
0.41000000000000003	-0.006696534024929202
0.42000000000000004	-0.008095778241065749
0.43	-0.009056737398683762
0.44	-0.00951349873040716
0.45	-0.009657162241551664
0.46	-0.009667468213164804
0.4700000000000001	-0.009191760731049714
0.48000000000000004	-0.008227916355078857
0.49000000000000005	-0.006787837220252474
0.5	-0.005532996750413244
0.51	-0.0035082995852695753
0.52	-0.0016745460813001878
0.53	7.271278717007751E-4
0.54	0.0027590180970281236
0.55	0.004928102517904431
0.56	0.007427224680648284
0.5700000000000001	0.009910535492032288
0.5800000000000001	0.01143692325534447
0.5900000000000001	0.01356613489311341
0.6	0.015170878282704317
0.61	0.016598425582178916
0.62	0.01761911456008533
0.63	0.018259006763883118
0.64	0.01860789629296604
0.65	0.01859791425819801
0.66	0.018271858059293697
0.67	0.017619693718818358
0.68	0.016097898085522755
0.6900000000000002	0.015001243886120563
0.7000000000000001	0.013335447058204442
0.7100000000000001	0.011159604271982898
0.7200000000000001	0.009290197373918285
0.73	0.007140184111025322
0.74	0.004826024280269098
0.75	0.0023321701927361688
0.76	4.6761891767505004E-4
0.77	-0.0016795438194540657
0.78	-0.003989716782444003
0.79	-0.00554584236359798
0.8	-0.007044773610651978
0.81	-0.008264188167760603
0.8200000000000001	-0.009034987850877904
0.8300000000000001	-0.009492749149608848
0.8400000000000001	-0.00956809301906178
0.8500000000000001	-0.009171505028359672
0.86	-0.008798849426771393
0.87	-0.007541653879948623
0.88	-0.006038455370188878
0.89	-0.004460615983737634
0.9	-0.002635494706192898
0.91	-6.789621414162311E-4
0.92	0.0015197920998408637
0.93	0.0036955859752439008
0.9400000000000002	0.005814626754526653
0.9500000000000001	0.008100608667456238
0.9600000000000001	0.010628291092203812
0.9700000000000001	0.012717370062793998
0.9800000000000001	0.014060722860995453
0.9900000000000001	0.015850265817736228
1.0	0.017005395122306588
1.01	0.018013496143562846
1.02	0.018609171526436125
1.03	0.018673642300640864
1.04	0.01854652742019866
1.05	0.018223058146513052
1.06	0.017506522366581234
1.07	0.016374000563816424
1.08	0.01458605940724518
1.09	0.012785062585893459
1.1	0.01080238268773856
1.11	0.008817983529816761
1.12	0.006348840825516663
1.1300000000000003	0.004070293204761918
1.1400000000000001	0.0020911063294198756
1.1500000000000001	-2.3997646000896433E-4
1.1600000000000001	-0.002477419876340453
1.1700000000000002	-0.004077968653712641
1.1800000000000002	-0.005762978867017307
1.19	-0.007200416745305166
1.2	-0.008284133588554857
1.21	-0.008959277890114498
1.22	-0.009207395252826961
1.23	-0.009120243449699098
1.24	-0.008831819301006197
1.25	-0.00783067889746307
1.26	-0.006583331178912133
1.27	-0.0055434761877091315
1.28	-0.0038533272175046707
1.29	-0.001747126829278911
1.3	3.3281930577903907E-4
1.31	0.002426777121497997
1.32	0.004857463465826453
1.33	0.007109898788716484
1.34	0.009321800541030933
1.35	0.01117566009799191
1.36	0.013325861120739385
1.37	0.014935868870526378
1.3800000000000003	0.016350714492892257
1.3900000000000001	0.017453784730834296
1.4000000000000001	0.01828171128993221
1.4100000000000001	0.018774411752852993
1.4200000000000002	0.018878829071571457
1.4300000000000002	0.01877100175638914
1.4400000000000002	0.01789290985370652
1.4500000000000002	0.016728937584938666
1.46	0.01587467111536528
1.47	0.014305273658915
1.48	0.012230450385297534
1.49	0.010247212157917004
1.5	0.007897107882852819
1.51	0.0057133379994512845
1.52	0.0036710307973481793
1.53	0.0010121209338587872
1.54	-7.509733779622746E-4
1.55	-0.003176700436161556
1.56	-0.004966330565792182
1.57	-0.0064640262306930735
1.58	-0.007782262294940723
1.59	-0.00871626431497731
1.6	-0.009167478094840198
1.61	-0.009517015035497886
1.62	-0.009192662152221129
1.6300000000000003	-0.00857845436959108
1.6400000000000001	-0.008222935137239734
1.6500000000000001	-0.006958503034531452
1.6600000000000001	-0.005029422919801574
1.6700000000000002	-0.0035858321898399326
1.6800000000000002	-0.001315415257797617
1.6900000000000002	5.997092172854435E-4
1.7000000000000002	0.0028268616120669665
1.7100000000000002	0.005240409641075763
1.72	0.007491492109578807
1.73	0.00988470667009718
1.74	0.011836825923362007
1.75	0.013717074369581708
1.76	0.015227329047716384
1.77	0.01664623492206671
1.78	0.017635224322543136
1.79	0.01826158054896325
1.8	0.01865913964332082
1.81	0.018632013433524025
1.82	0.018235691065657894
1.83	0.017703042562246654
